algorithm,time,convergence,n,d,k,Nodes N,Nodes n,GPUs
sequential,71.60775303840637,19,1024,50,50,1,2,2
stock,56.50876784324646,1000,1024,50,50,1,2,2
pyCUDA,0.0077550411224365234,18,1024,50,50,1,2,2
mpi4py,0.10928893089294434,3,1024,50,50,1,2,2
hybrid,0.010468006134033203,3,1024,50,50,1,2,2
sequential,134.83867692947388,18,1024,50,100,1,2,2
stock,90.0799789428711,1000,1024,50,100,1,2,2
pyCUDA,0.010792016983032227,17,1024,50,100,1,2,2
mpi4py,0.41907501220703125,9,1024,50,100,1,2,2
hybrid,3.687311887741089,1000,1024,50,100,1,2,2
sequential,14.229767799377441,25,1024,100,3,1,2,2
stock,20.32794690132141,1000,1024,100,3,1,2,2
pyCUDA,0.007224082946777344,24,1024,100,3,1,2,2
mpi4py,25.277751922607422,1000,1024,100,3,1,2,2
hybrid,1.0955109596252441,1000,1024,100,3,1,2,2
sequential,11.503953218460083,16,1024,100,4,1,2,2
stock,20.928258895874023,1000,1024,100,4,1,2,2
pyCUDA,0.005341053009033203,15,1024,100,4,1,2,2
mpi4py,25.4882869720459,1000,1024,100,4,1,2,2
hybrid,1.1145961284637451,1000,1024,100,4,1,2,2
sequential,12.893378973007202,15,1024,100,5,1,2,2
stock,22.635870933532715,1000,1024,100,5,1,2,2
pyCUDA,0.00492405891418457,14,1024,100,5,1,2,2
mpi4py,0.07792282104492188,3,1024,100,5,1,2,2
hybrid,1.1651630401611328,1000,1024,100,5,1,2,2
sequential,53.92710018157959,34,1024,100,10,1,2,2
stock,36.651819944381714,1000,1024,100,10,1,2,2
pyCUDA,0.009697914123535156,33,1024,100,10,1,2,2
mpi4py,28.709194898605347,1000,1024,100,10,1,2,2
hybrid,1.329375982284546,1000,1024,100,10,1,2,2
sequential,82.80975103378296,22,1024,100,25,1,2,2
stock,53.28420805931091,1000,1024,100,25,1,2,2
pyCUDA,0.008826017379760742,21,1024,100,25,1,2,2
mpi4py,33.80743980407715,1000,1024,100,25,1,2,2
hybrid,1.7290699481964111,1000,1024,100,25,1,2,2
sequential,148.25399518013,20,1024,100,50,1,2,2
stock,72.93201804161072,1000,1024,100,50,1,2,2
pyCUDA,0.011476993560791016,19,1024,100,50,1,2,2
mpi4py,0.12703204154968262,3,1024,100,50,1,2,2
hybrid,2.7556540966033936,1000,1024,100,50,1,2,2
sequential,205.99935793876648,14,1024,100,100,1,2,2
stock,117.86223602294922,1000,1024,100,100,1,2,2
pyCUDA,0.013459205627441406,13,1024,100,100,1,2,2
mpi4py,60.35501194000244,1000,1024,100,100,1,2,2
hybrid,0.012722015380859375,2,1024,100,100,1,2,2
sequential,93.47275114059448,17,1024,1000,3,1,2,2
stock,115.2348120212555,1000,1024,1000,3,1,2,2
pyCUDA,0.02621293067932129,28,1024,1000,3,1,2,2
mpi4py,0.1096799373626709,3,1024,1000,3,1,2,2
hybrid,0.027070045471191406,4,1024,1000,3,1,2,2
sequential,149.05229306221008,19,1024,1000,4,1,2,2
stock,215.66178703308105,1000,1024,1000,4,1,2,2
pyCUDA,0.24958014488220215,302,1024,1000,4,1,2,2
mpi4py,43.4153618812561,1000,1024,1000,4,1,2,2
hybrid,0.03189492225646973,6,1024,1000,4,1,2,2
