algorithm,time,convergence,distortion,arithmetic intensity,n,d,k
hybrid,0.6262900829315186,7,0,0,40000,3,4
sequential,12.427252054214478,7,0,0,40000,3,5
stock,0.2662241458892822,7,2743.1000824614216,0,40000,3,5
pyCUDA,0.1383519172668457,7,0,0,40000,3,5
mpi4py,8.559952974319458,7,0,0,40000,3,5
hybrid,0.6489439010620117,7,0,0,40000,3,5
sequential,13.775590896606445,7,0,0,40000,6,3
stock,0.32680511474609375,7,34491.448039382245,0,40000,6,3
pyCUDA,0.12097311019897461,7,0,0,40000,6,3
mpi4py,8.508717060089111,7,0,0,40000,6,3
hybrid,0.7070770263671875,7,0,0,40000,6,3
sequential,16.39881992340088,7,0,0,40000,6,4
stock,0.41500091552734375,7,29408.391009891944,0,40000,6,4
pyCUDA,0.1277618408203125,7,0,0,40000,6,4
mpi4py,9.119910955429077,7,0,0,40000,6,4
hybrid,0.6846470832824707,7,0,0,40000,6,4
sequential,18.98458981513977,7,0,0,40000,6,5
stock,0.5425209999084473,7,27188.274638083331,0,40000,6,5
pyCUDA,0.13627099990844727,7,0,0,40000,6,5
mpi4py,8.48773193359375,7,0,0,40000,6,5
hybrid,0.7212669849395752,7,0,0,40000,6,5
sequential,11.561352014541626,7,0,0,50000,3,3
stock,0.23272085189819336,7,11151.09657152587,0,50000,3,3
pyCUDA,0.1322460174560547,7,0,0,50000,3,3
mpi4py,10.220082998275757,7,0,0,50000,3,3
hybrid,0.7251348495483398,7,0,0,50000,3,3
sequential,13.405021905899048,7,0,0,50000,3,4
stock,0.2886979579925537,7,6462.8486073510358,0,50000,3,4
pyCUDA,0.13772296905517578,7,0,0,50000,3,4
mpi4py,10.269209146499634,7,0,0,50000,3,4
hybrid,0.678847074508667,7,0,0,50000,3,4
sequential,15.36300015449524,7,0,0,50000,3,5
stock,0.39615797996520996,7,3876.495943317992,0,50000,3,5
pyCUDA,0.14229083061218262,7,0,0,50000,3,5
mpi4py,10.334438800811768,7,0,0,50000,3,5
hybrid,0.7248260974884033,7,0,0,50000,3,5
sequential,16.551589012145996,7,0,0,50000,6,3
stock,0.4156780242919922,7,42524.451902974171,0,50000,6,3
pyCUDA,0.13219499588012695,7,0,0,50000,6,3
mpi4py,10.380293130874634,7,0,0,50000,6,3
hybrid,0.6809051036834717,7,0,0,50000,6,3
sequential,20.528296947479248,7,0,0,50000,6,4
stock,0.5366029739379883,7,38956.448906121746,0,50000,6,4
pyCUDA,0.13509106636047363,7,0,0,50000,6,4
mpi4py,10.383612871170044,7,0,0,50000,6,4
hybrid,0.6507830619812012,7,0,0,50000,6,4
sequential,23.540825843811035,7,0,0,50000,6,5
stock,0.629615068435669,7,33630.249185552799,0,50000,6,5
pyCUDA,0.1382150650024414,7,0,0,50000,6,5
mpi4py,10.490698099136353,7,0,0,50000,6,5
hybrid,0.6980469226837158,7,0,0,50000,6,5
sequential,13.836337089538574,7,0,0,60000,3,3
stock,0.287384033203125,7,12893.659169541581,0,60000,3,3
pyCUDA,0.14523696899414062,7,0,0,60000,3,3
mpi4py,12.493235111236572,7,0,0,60000,3,3
hybrid,0.9105660915374756,7,0,0,60000,3,3
sequential,16.205788135528564,7,0,0,60000,3,4
stock,0.3575911521911621,7,8829.3612800235242,0,60000,3,4
pyCUDA,0.14705705642700195,7,0,0,60000,3,4
mpi4py,12.527026891708374,7,0,0,60000,3,4
hybrid,0.9309689998626709,7,0,0,60000,3,4
sequential,18.431509017944336,7,0,0,60000,3,5
stock,0.5025980472564697,7,5745.9794563731675,0,60000,3,5
pyCUDA,0.1476879119873047,7,0,0,60000,3,5
mpi4py,12.669006109237671,7,0,0,60000,3,5
hybrid,0.9465618133544922,7,0,0,60000,3,5
