algorithm,time,convergence,n,d,k,Nodes N,Nodes n,GPUs
sequential,77.31856489181519,20,1024,50,50,1,2,2
stock,59.04746699333191,1000,1024,50,50,1,2,2
pyCUDA,0.008331060409545898,19,1024,50,50,1,2,2
mpi4py,40.54605007171631,1000,1024,50,50,1,2,2
hybrid,0.026018142700195312,10,1024,50,50,1,2,2
sequential,107.18825507164001,14,1024,50,100,1,2,2
stock,94.0596170425415,1000,1024,50,100,1,2,2
pyCUDA,0.00921010971069336,13,1024,50,100,1,2,2
mpi4py,54.56205487251282,1000,1024,50,100,1,2,2
hybrid,3.8207199573516846,1000,1024,50,100,1,2,2
sequential,4.808366775512695,8,1024,100,3,1,2,2
stock,20.772528886795044,1000,1024,100,3,1,2,2
pyCUDA,0.0035161972045898438,7,1024,100,3,1,2,2
mpi4py,26.18451690673828,1000,1024,100,3,1,2,2
hybrid,1.1179640293121338,1000,1024,100,3,1,2,2
sequential,21.02999496459961,28,1024,100,4,1,2,2
stock,21.130816221237183,1000,1024,100,4,1,2,2
pyCUDA,0.008038997650146484,27,1024,100,4,1,2,2
mpi4py,26.381869077682495,1000,1024,100,4,1,2,2
hybrid,1.149716854095459,1000,1024,100,4,1,2,2
sequential,13.319752931594849,15,1024,100,5,1,2,2
stock,23.375106811523438,1000,1024,100,5,1,2,2
pyCUDA,0.005027055740356445,14,1024,100,5,1,2,2
mpi4py,27.620576858520508,1000,1024,100,5,1,2,2
hybrid,1.2098090648651123,1000,1024,100,5,1,2,2
sequential,39.03264307975769,24,1024,100,10,1,2,2
stock,37.623722076416016,1000,1024,100,10,1,2,2
pyCUDA,0.007462978363037109,23,1024,100,10,1,2,2
mpi4py,30.132790088653564,1000,1024,100,10,1,2,2
hybrid,0.9588110446929932,696,1024,100,10,1,2,2
sequential,129.48453497886658,33,1024,100,25,1,2,2
stock,55.46412992477417,1000,1024,100,25,1,2,2
pyCUDA,0.012776851654052734,32,1024,100,25,1,2,2
mpi4py,0.0765540599822998,2,1024,100,25,1,2,2
hybrid,0.20303893089294434,112,1024,100,25,1,2,2
sequential,154.90300703048706,20,1024,100,50,1,2,2
stock,75.99751806259155,1000,1024,100,50,1,2,2
pyCUDA,0.011857986450195312,19,1024,100,50,1,2,2
mpi4py,0.0952458381652832,2,1024,100,50,1,2,2
hybrid,2.8157711029052734,1000,1024,100,50,1,2,2
